Date,Price,Open,High,Low,Vol.,Change %
2018-02-02,16.555,17.18,17.225,16.52,-,-3.64%
2018-02-01,17.18,17.34,17.35,17.07,-,-0.95%
2018-01-31,17.345,17.095,17.375,17.065,-,1.40%
2018-01-30,17.105,17.155,17.31,17.04,-,-0.29%
2018-01-29,17.155,17.415,17.47,17.085,-,-1.46%
2018-01-28,17.41,17.42,17.44,17.365,-,0.14%
2018-01-26,17.385,17.305,17.53,17.295,-,0.46%
2018-01-25,17.305,17.52,17.705,17.13,-,-1.20%
2018-01-24,17.515,17.05,17.625,16.985,-,2.73%
2018-01-23,17.05,17.015,17.09,16.74,-,0.21%
2018-01-22,17.015,17.075,17.095,16.945,-,-0.38%
2018-01-21,17.08,17.06,17.1,17.04,-,0.32%
2018-01-19,17.025,16.98,17.13,16.96,-,0.27%
2018-01-18,16.98,17.04,17.135,16.915,-,-0.35%
2018-01-17,17.04,17.23,17.31,16.99,-,-1.13%
2018-01-16,17.235,17.385,17.385,16.82,-,-0.83%
2018-01-15,17.38,17.24,17.445,17.225,-,0.78%
2018-01-14,17.245,17.24,17.27,17.225,-,0.00%
2018-01-12,17.245,17.02,17.3,17.01,-,1.32%
2018-01-11,17.02,17.015,17.065,16.89,-,0.03%
2018-01-10,17.015,16.965,17.215,16.93,-,0.27%
2018-01-09,16.97,17.13,17.17,16.945,-,-0.93%
2018-01-08,17.13,17.275,17.295,17.065,-,-0.81%
2018-01-07,17.27,17.28,17.285,17.27,-,0.06%
2018-01-05,17.26,17.22,17.32,17.13,-,0.23%
2018-01-04,17.22,17.145,17.315,17.025,-,0.47%
2018-01-03,17.14,17.245,17.285,17.08,-,-0.64%
